,job_title,company,description
80, Data Engineer , National Computer Systems ,"Role: Data Engineer Location: Remote C2C Data track Data engineer Microsoft partnership Microsoft Fabric PowerBI Datalakes, Datawarehouse need candidates with these skill setsRole: Data Engineer Location: Remote C2C Data track Data engineer Microsoft partnership Microsoft Fabric PowerBI Datalakes, Datawarehouse need candidates with these skill setsRole: Data Engineer Location: Remote C2C Data track Data engineer Microsoft partnership Microsoft Fabric PowerBI Datalakes, Datawarehouse need candidates with these skill sets"
78, Data Engineer , Atmecs Global Inc. ,Atmecs is looking for a strong Data Engineer with 10 Years of Experience direct client in Remote. Immediate interviews!! Interested Candidates please send me your resumes and contact details at  or call Shiva @  Position Title: Data Engineer Location: Remote Duration: Long Term Job description: The expectations on the roles10 Years of Experience in Data Engineer Strong Experience in Machine Learning Strong Experience in ArtificialIntelligenceAtmecs is looking for a strong Data Engineer with 10 Years of Experience direct client in Remote. Immediate interviews!! Interested Candidates please send me your resumes and contact details at  or call Shiva @  Position Title: Data Engineer Location: Remote Duration: Long Term Job description: The expectations on the roles10 Years of Experience in Data Engineer Strong Experience in Machine Learning Strong Experience in ArtificialIntelligenceAtmecs is looking for a strong Data Engineer with 10 Years of Experience direct client in Remote. Immediate interviews!! Interested Candidates please send me your resumes and contact details at  or call Shiva @  Position Title: Data Engineer Location: Remote Duration: Long Term Job description: The expectations on the roles10 Years of Experience in Data Engineer Strong Experience in Machine Learning Strong Experience in ArtificialIntelligence
79, Data Engineer , Keypixel Software Solutions ,"Title: Data Engineer Duration: Long term Contract Job Description Client seeks a dynamic and driven mid-level Data Engineer to join our team who will be responsible for operating and enhancing the performance and functionality of existing data management systems, as well as participating in the design and delivery of new database solutions. Required Skills: Bachelor's degree (B. A. / B. S.) from four-year college or universityOverall, 7-9 years experience as Data Engineer on the Microsoft Azure Title: Data Engineer Duration: Long term Contract Job Description Client seeks a dynamic and driven mid-level Data Engineer to join our team who will be responsible for operating and enhancing the performance and functionality of existing data management systems, as well as participating in the design and delivery of new database solutions. Required Skills: Bachelor's degree (B. A. / B. S.) from four-year college or universityOverall, 7-9 years experience as Data Engineer on the Microsoft Azure Title: Data Engineer Duration: Long term Contract Job Description Client seeks a dynamic and driven mid-level Data Engineer to join our team who will be responsible for operating and enhancing the performance and functionality of existing data management systems, as well as participating in the design and delivery of new database solutions. Required Skills: Bachelor's degree (B. A. / B. S.) from four-year college or universityOverall, 7-9 years experience as Data Engineer on the Microsoft Azure Title: Data Engineer Duration: Long term Contract Job Description Client seeks a dynamic and driven mid-level Data Engineer to join our team who will be responsible for operating and enhancing the performance and functionality of existing data management systems, as well as participating in the design and delivery of new database solutions. Required Skills: Bachelor's degree (B. A. / B. S.) from four-year college or universityOverall, 7-9 years experience as Data Engineer on the Microsoft Azure "
82," Data Engineer (Python, AWS Lambda, AWS Glue, ETL) "," eSolutionsFirst, LLC ","Title: Data Engineer Location: 100% Remote Job Required more than 10+ Yrs.  Information Senior Data Engineer is responsible for solution engineering of enterprise scale data management best practices. This includes patterns such as - modern data integration frameworks, building of scalable distributed systems using emerging cloud-based data design patterns. This role will be responsible for developing data integration tasks in the data and analytics space. This position will report to Sr. DirectTitle: Data Engineer Location: 100% Remote Job Required more than 10+ Yrs.  Information Senior Data Engineer is responsible for solution engineering of enterprise scale data management best practices. This includes patterns such as - modern data integration frameworks, building of scalable distributed systems using emerging cloud-based data design patterns. This role will be responsible for developing data integration tasks in the data and analytics space. This position will report to Sr. DirectTitle: Data Engineer Location: 100% Remote Job Required more than 10+ Yrs.  Information Senior Data Engineer is responsible for solution engineering of enterprise scale data management best practices. This includes patterns such as - modern data integration frameworks, building of scalable distributed systems using emerging cloud-based data design patterns. This role will be responsible for developing data integration tasks in the data and analytics space. This position will report to Sr. DirectTitle: Data Engineer Location: 100% Remote Job Required more than 10+ Yrs.  Information Senior Data Engineer is responsible for solution engineering of enterprise scale data management best practices. This includes patterns such as - modern data integration frameworks, building of scalable distributed systems using emerging cloud-based data design patterns. This role will be responsible for developing data integration tasks in the data and analytics space. This position will report to Sr. Direct"
83, Data Engineer / 100% Remote ," Motion Recruitment Partners, LLC ","Job Description This Cybersecurity company is looking for a Data Engineer that has experience building out data pipelines using Required Skills & Experience  Bachelor's degree in computer science, Engineering, or a related field 6+ yr of experience Python ETL pipelines  What You Will Be Doing  ETL pipelines using Python Utilizing cutting edge technology  The Offer You will receive the following benefits:  Medical Insurance Dental Benefits Vision Benefits Paid Time Off (PTO) 401(k) {including matJob Description This Cybersecurity company is looking for a Data Engineer that has experience building out data pipelines using Required Skills & Experience  Bachelor's degree in computer science, Engineering, or a related field 6+ yr of experience Python ETL pipelines  What You Will Be Doing  ETL pipelines using Python Utilizing cutting edge technology  The Offer You will receive the following benefits:  Medical Insurance Dental Benefits Vision Benefits Paid Time Off (PTO) 401(k) {including matJob Description This Cybersecurity company is looking for a Data Engineer that has experience building out data pipelines using Required Skills & Experience  Bachelor's degree in computer science, Engineering, or a related field 6+ yr of experience Python ETL pipelines  What You Will Be Doing  ETL pipelines using Python Utilizing cutting edge technology  The Offer You will receive the following benefits:  Medical Insurance Dental Benefits Vision Benefits Paid Time Off (PTO) 401(k) {including mat"
84, Data Engineer | 8+ only | W2 or 1099 , App Dynamic Systems llc ,"Job Title: Data Engineer  Experience : 8+ only100% Remote Visa : ANY (Except H1 below 9 years ) Employment Type: Contract W2 or 1099 Must Have Skills/Attributes: Python, SQL Job Description  Job Title: Data Engineer Duration: 12+ Months (Potential to extend to 24+ months) Location: remote Qualifications : Bachelor or Master's degree in Computer Science, Engineering, Information Systems or relevant degree is required 7+ years of professional work experience designing and implementing data pipelinJob Title: Data Engineer  Experience : 8+ only100% Remote Visa : ANY (Except H1 below 9 years ) Employment Type: Contract W2 or 1099 Must Have Skills/Attributes: Python, SQL Job Description  Job Title: Data Engineer Duration: 12+ Months (Potential to extend to 24+ months) Location: remote Qualifications : Bachelor or Master's degree in Computer Science, Engineering, Information Systems or relevant degree is required 7+ years of professional work experience designing and implementing data pipelinJob Title: Data Engineer  Experience : 8+ only100% Remote Visa : ANY (Except H1 below 9 years ) Employment Type: Contract W2 or 1099 Must Have Skills/Attributes: Python, SQL Job Description  Job Title: Data Engineer Duration: 12+ Months (Potential to extend to 24+ months) Location: remote Qualifications : Bachelor or Master's degree in Computer Science, Engineering, Information Systems or relevant degree is required 7+ years of professional work experience designing and implementing data pipelinJob Title: Data Engineer  Experience : 8+ only100% Remote Visa : ANY (Except H1 below 9 years ) Employment Type: Contract W2 or 1099 Must Have Skills/Attributes: Python, SQL Job Description  Job Title: Data Engineer Duration: 12+ Months (Potential to extend to 24+ months) Location: remote Qualifications : Bachelor or Master's degree in Computer Science, Engineering, Information Systems or relevant degree is required 7+ years of professional work experience designing and implementing data pipelin"
85, Data Governance Collibra Admin , Keylent ,"Title: Collibra Administrator Location: REMOTE  The Collibra Administrator will support the administration and daily operations of our Enterprise Data catalog platform, Collibra. Must deliver comprehensive, extensible, and industry best practice designs and supporting documentation which support current business and technical requirements, while promoting expansion of stewardship leveraging the tool. Overall, 7-10 years of experience on administrative activities including data governance tools aTitle: Collibra Administrator Location: REMOTE  The Collibra Administrator will support the administration and daily operations of our Enterprise Data catalog platform, Collibra. Must deliver comprehensive, extensible, and industry best practice designs and supporting documentation which support current business and technical requirements, while promoting expansion of stewardship leveraging the tool. Overall, 7-10 years of experience on administrative activities including data governance tools aTitle: Collibra Administrator Location: REMOTE  The Collibra Administrator will support the administration and daily operations of our Enterprise Data catalog platform, Collibra. Must deliver comprehensive, extensible, and industry best practice designs and supporting documentation which support current business and technical requirements, while promoting expansion of stewardship leveraging the tool. Overall, 7-10 years of experience on administrative activities including data governance tools a"
86, Data Governance Steward , Infotree Service Inc. ,"Description: Must Have Skills:  Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform BigQuery etc.  Good understanding and knowledge on Data Governance.  Data quality management skills.  Demonstrated ability to deliver detailed technical documentation.  Bachelor's degree in computer science, Engineering, Science, Agriculture or another related fieldDescription: Must Have Skills:  Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform BigQuery etc.  Good understanding and knowledge on Data Governance.  Data quality management skills.  Demonstrated ability to deliver detailed technical documentation.  Bachelor's degree in computer science, Engineering, Science, Agriculture or another related fieldDescription: Must Have Skills:  Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform BigQuery etc.  Good understanding and knowledge on Data Governance.  Data quality management skills.  Demonstrated ability to deliver detailed technical documentation.  Bachelor's degree in computer science, Engineering, Science, Agriculture or another related fieldDescription: Must Have Skills:  Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform BigQuery etc.  Good understanding and knowledge on Data Governance.  Data quality management skills.  Demonstrated ability to deliver detailed technical documentation.  Bachelor's degree in computer science, Engineering, Science, Agriculture or another related field"
87, Data Governance Steward/ Specialist , Infotree Service Inc. ,"Skills Required: Bachelors degree in computer science, Engineering, Science, Agriculture, or another related field.Applied experience with modern engineering technologies and data principles, for instance: Big Data Cloud Compute, NoSQL, etc.Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform, BigQuery etc.Good understanding and knowledge on Data Governance.Data quality management skills.Demonstrated ability to deliver detailed technicaSkills Required: Bachelors degree in computer science, Engineering, Science, Agriculture, or another related field.Applied experience with modern engineering technologies and data principles, for instance: Big Data Cloud Compute, NoSQL, etc.Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform, BigQuery etc.Good understanding and knowledge on Data Governance.Data quality management skills.Demonstrated ability to deliver detailed technicaSkills Required: Bachelors degree in computer science, Engineering, Science, Agriculture, or another related field.Applied experience with modern engineering technologies and data principles, for instance: Big Data Cloud Compute, NoSQL, etc.Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform, BigQuery etc.Good understanding and knowledge on Data Governance.Data quality management skills.Demonstrated ability to deliver detailed technicaSkills Required: Bachelors degree in computer science, Engineering, Science, Agriculture, or another related field.Applied experience with modern engineering technologies and data principles, for instance: Big Data Cloud Compute, NoSQL, etc.Technical proficiency with relevant technical skillset like Data warehousing, SQL, Python, Google Cloud Platform, BigQuery etc.Good understanding and knowledge on Data Governance.Data quality management skills.Demonstrated ability to deliver detailed technica"
88, Data Management Consultant ," Public Consulting Group, Inc. ","Overview About Public Consulting Group Public Consulting Group LLC (PCG) is a leading public sector solutions implementation and operations improvement firm that partners with health, education, and human services agencies to improve lives. Founded in 1986, PCG employs approximately 2,000 professionals throughout the U.S.-all committed to delivering solutions that change lives for the better. The firm is a member of a family of companies with experience in all 50 states, and clients in six CanadOverview About Public Consulting Group Public Consulting Group LLC (PCG) is a leading public sector solutions implementation and operations improvement firm that partners with health, education, and human services agencies to improve lives. Founded in 1986, PCG employs approximately 2,000 professionals throughout the U.S.-all committed to delivering solutions that change lives for the better. The firm is a member of a family of companies with experience in all 50 states, and clients in six Canad"
89, Data Ops Infra Engineer , Georgia IT ,"Data Ops Infra Engineer Location  Seattle, WA (if remote, must be willing to work PST) Duration  6 months+  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with Engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions for optimized infJob- Data Ops Infra Engineer Location  Seattle, WA (If remote, must be willing to work PST) Duration  Contract Rate- DOE  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions forData Ops Infra Engineer Location  Seattle, WA (if remote, must be willing to work PST) Duration  6 months+  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with Engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions for optimized infJob- Data Ops Infra Engineer Location  Seattle, WA (If remote, must be willing to work PST) Duration  Contract Rate- DOE  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions forData Ops Infra Engineer Location  Seattle, WA (if remote, must be willing to work PST) Duration  6 months+  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with Engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions for optimized infJob- Data Ops Infra Engineer Location  Seattle, WA (If remote, must be willing to work PST) Duration  Contract Rate- DOE  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions forData Ops Infra Engineer Location  Seattle, WA (if remote, must be willing to work PST) Duration  6 months+  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with Engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions for optimized infJob- Data Ops Infra Engineer Location  Seattle, WA (If remote, must be willing to work PST) Duration  Contract Rate- DOE  Skill Requirement Azure DevOpsAdvanced Scripting knowledge on Python , SQL, PowerShell is a mustHands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templatesAzure Security is a mustCore responsibilities Collaborate with engineering teams to maintain data pipelines in production environment.Evaluate and recommend solutions for"
90, Data Ops Infra Engineer (No C2C) ," Yashco Systems, Inc. ","Skill Requirement  Azure DevOps  Advanced Scripting knowledge on Python , SQL, PowerShell is a must  Hands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templates  Azure Security is a must  Core responsibilities  Collaborate with Engineering teams to maintain data pipelines in production environment.  Evaluate and recommend solutions for optimized infrastructure utilization and production deployments.  Develop and maintain scripts / frameworks pSkill Requirement  Azure DevOps  Advanced Scripting knowledge on Python , SQL, PowerShell is a must  Hands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templates  Azure Security is a must  Core responsibilities  Collaborate with Engineering teams to maintain data pipelines in production environment.  Evaluate and recommend solutions for optimized infrastructure utilization and production deployments.  Develop and maintain scripts / frameworks pSkill Requirement  Azure DevOps  Advanced Scripting knowledge on Python , SQL, PowerShell is a must  Hands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templates  Azure Security is a must  Core responsibilities  Collaborate with Engineering teams to maintain data pipelines in production environment.  Evaluate and recommend solutions for optimized infrastructure utilization and production deployments.  Develop and maintain scripts / frameworks pSkill Requirement  Azure DevOps  Advanced Scripting knowledge on Python , SQL, PowerShell is a must  Hands on experience on supporting Azure Infrastructure - Synapse, Data Bricks, Storage, Key Vault, ARM templates  Azure Security is a must  Core responsibilities  Collaborate with Engineering teams to maintain data pipelines in production environment.  Evaluate and recommend solutions for optimized infrastructure utilization and production deployments.  Develop and maintain scripts / frameworks p"
91, Data Scientist , ClifyX ,"Job title:Data Scientist- Contract W2Position:Contract - W2Location:CA - Walnut Creek (Remote) Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products. Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and identify trends and opportunities.Inform, iHi, Hope you are doing well. Please review and let me know your interest. Job Title: Data Scientist Location: Walnut Creek, CA Duration 12 + month - Remote Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our productsPartner with teams to solve problems and identify trends and opportunitiesInform, influence, support, and execute our product decisions and product launJob title:Data Scientist- Contract W2Position:Contract - W2Location:CA - Walnut Creek (Remote) Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products. Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and identify trends and opportunities.Inform, iHi, Hope you are doing well. Please review and let me know your interest. Job Title: Data Scientist Location: Walnut Creek, CA Duration 12 + month - Remote Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our productsPartner with teams to solve problems and identify trends and opportunitiesInform, influence, support, and execute our product decisions and product launJob title:Data Scientist- Contract W2Position:Contract - W2Location:CA - Walnut Creek (Remote) Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products. Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and identify trends and opportunities.Inform, iHi, Hope you are doing well. Please review and let me know your interest. Job Title: Data Scientist Location: Walnut Creek, CA Duration 12 + month - Remote Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our productsPartner with teams to solve problems and identify trends and opportunitiesInform, influence, support, and execute our product decisions and product launJob title:Data Scientist- Contract W2Position:Contract - W2Location:CA - Walnut Creek (Remote) Job Description: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products. Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and identify trends and opportunities.Inform, i"
92, Data Scientist (W2-Only) -Remote , ClifyX ,"Hello, Greetings from Clifyx Inc.Position Title:Data ScientistLocation:Walnut Creek, CA (Remote Job)Duration: 12 Months Plus Contract (W2-Only)Job details  Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products.Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and Hello, Greetings from Clifyx Inc.Position Title:Data ScientistLocation:Walnut Creek, CA (Remote Job)Duration: 12 Months Plus Contract (W2-Only)Job details  Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products.Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and Hello, Greetings from Clifyx Inc.Position Title:Data ScientistLocation:Walnut Creek, CA (Remote Job)Duration: 12 Months Plus Contract (W2-Only)Job details  Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products.Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and Hello, Greetings from Clifyx Inc.Position Title:Data ScientistLocation:Walnut Creek, CA (Remote Job)Duration: 12 Months Plus Contract (W2-Only)Job details  Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our products.Forecasting, goaling, designing, evaluating experiments, build and analyze dashboards/reports, and evaluating/defining metrics.Partner with teams to solve problems and "
93, Data Wrangler Specialist- 100% Remote , Akshaya Inc ,"Role: Data Wrangler Specialist Years of Experience: 10+ years Location: Remote (USA, East Coast preferred)  As a consultant within the DAE team, you will work with our clients to define their digital strategy and execution roadmap, and design and implement differentiated digital solutions to help deliver measurable value.  Your responsibilities in this role will include: Job Overview: We are seeking a skilled and detail-oriented Data Wrangler to join our dynamic team. The ideal candidate will beRole: Data Wrangler Specialist Years of Experience: 10+ years Location: Remote (USA, East Coast preferred)  As a consultant within the DAE team, you will work with our clients to define their digital strategy and execution roadmap, and design and implement differentiated digital solutions to help deliver measurable value.  Your responsibilities in this role will include: Job Overview: We are seeking a skilled and detail-oriented Data Wrangler to join our dynamic team. The ideal candidate will beRole: Data Wrangler Specialist Years of Experience: 10+ years Location: Remote (USA, East Coast preferred)  As a consultant within the DAE team, you will work with our clients to define their digital strategy and execution roadmap, and design and implement differentiated digital solutions to help deliver measurable value.  Your responsibilities in this role will include: Job Overview: We are seeking a skilled and detail-oriented Data Wrangler to join our dynamic team. The ideal candidate will beRole: Data Wrangler Specialist Years of Experience: 10+ years Location: Remote (USA, East Coast preferred)  As a consultant within the DAE team, you will work with our clients to define their digital strategy and execution roadmap, and design and implement differentiated digital solutions to help deliver measurable value.  Your responsibilities in this role will include: Job Overview: We are seeking a skilled and detail-oriented Data Wrangler to join our dynamic team. The ideal candidate will be"
94, DataStage Developer ," Millennium Software, Inc. ","For our Detroit based client we require DataStage developer to work remote. Consultant should be willing to work as W2 employee. Title: BI ETL (DataStage) Developer Role Description:  As an ETL developer for NE Data Management and Analytics, you are required to build parallel and sequence jobs to induce, transform and load data to the Medicaid data warehouse and decision support system.  In addition to the development, it is required to create and maintain the data source to target mapping and dFor our Detroit based client we require DataStage developer to work remote. Consultant should be willing to work as W2 employee. Title: BI ETL (DataStage) Developer Role Description:  As an ETL developer for NE Data Management and Analytics, you are required to build parallel and sequence jobs to induce, transform and load data to the Medicaid data warehouse and decision support system.  In addition to the development, it is required to create and maintain the data source to target mapping and d"
95, Database Administrator with Azure & Mongo DB , SecureKloud Technologies Inc. ,"Designation: Cloud Database Engineer Location: Remote. Duration:Long Term.  Job Description: At least 5 years of experience as a DBA, with a blend of database experience with MongoDB, SQL Serveretc.Experience architecting and maintaining complex relational databases including MongoDBand MS SQLSkilled at optimizing large complicated SQL statementsAutomating NoSQL day-to-day operational activities (security, index maintenance, backups, disaster recovery, and installation)Experience in designing, dDesignation: Cloud Database Engineer Location: Remote. Duration:Long Term.  Job Description: At least 5 years of experience as a DBA, with a blend of database experience with MongoDB, SQL Serveretc.Experience architecting and maintaining complex relational databases including MongoDBand MS SQLSkilled at optimizing large complicated SQL statementsAutomating NoSQL day-to-day operational activities (security, index maintenance, backups, disaster recovery, and installation)Experience in designing, dDesignation: Cloud Database Engineer Location: Remote. Duration:Long Term.  Job Description: At least 5 years of experience as a DBA, with a blend of database experience with MongoDB, SQL Serveretc.Experience architecting and maintaining complex relational databases including MongoDBand MS SQLSkilled at optimizing large complicated SQL statementsAutomating NoSQL day-to-day operational activities (security, index maintenance, backups, disaster recovery, and installation)Experience in designing, dDesignation: Cloud Database Engineer Location: Remote. Duration:Long Term.  Job Description: At least 5 years of experience as a DBA, with a blend of database experience with MongoDB, SQL Serveretc.Experience architecting and maintaining complex relational databases including MongoDBand MS SQLSkilled at optimizing large complicated SQL statementsAutomating NoSQL day-to-day operational activities (security, index maintenance, backups, disaster recovery, and installation)Experience in designing, d"
96, Database Architect , Cynosure Technologies LLC ,"We are looking for a Database Architect with SQL Server for one of our clients in Austin, TX, as a 100% remote job. Please find below the job details and get back to us at your earliest convenience for a detailed discussion.  Job Title: Database Architect Location: Austin, TX (100% Remote job) Duration: 12 months contract This is a remote position. The candidate must be residing in Texas or willing to relocate to Texas by their start date. Required Skills: Data Architect Role Data modelling in SWe are looking for a Database Architect with SQL Server for one of our clients in Austin, TX, as a 100% remote job. Please find below the job details and get back to us at your earliest convenience for a detailed discussion.  Job Title: Database Architect Location: Austin, TX (100% Remote job) Duration: 12 months contract This is a remote position. The candidate must be residing in Texas or willing to relocate to Texas by their start date. Required Skills: Data Architect Role Data modelling in SWe are looking for a Database Architect with SQL Server for one of our clients in Austin, TX, as a 100% remote job. Please find below the job details and get back to us at your earliest convenience for a detailed discussion.  Job Title: Database Architect Location: Austin, TX (100% Remote job) Duration: 12 months contract This is a remote position. The candidate must be residing in Texas or willing to relocate to Texas by their start date. Required Skills: Data Architect Role Data modelling in SWe are looking for a Database Architect with SQL Server for one of our clients in Austin, TX, as a 100% remote job. Please find below the job details and get back to us at your earliest convenience for a detailed discussion.  Job Title: Database Architect Location: Austin, TX (100% Remote job) Duration: 12 months contract This is a remote position. The candidate must be residing in Texas or willing to relocate to Texas by their start date. Required Skills: Data Architect Role Data modelling in S"
97, Database Architect , Y & L Consulting Inc. ,Position: Database Architect Contract Duration: 6 Months + Renewal Options  CLIENT is migrating one of its high-usage transactional system from a legacy platform to newer technologies in the cloud and requires a Database Architect with proven experience to:  Document the as is schemas currently in use at CLIENT in SQL Server databases and Oracle databases.Document existing data interfaces in the legacy system.Document existing downstream impacts of the legacy system.Document database process thaPosition: Database Architect Contract Duration: 6 Months + Renewal Options  CLIENT is migrating one of its high-usage transactional system from a legacy platform to newer technologies in the cloud and requires a Database Architect with proven experience to:  Document the as is schemas currently in use at CLIENT in SQL Server databases and Oracle databases.Document existing data interfaces in the legacy system.Document existing downstream impacts of the legacy system.Document database process thaPosition: Database Architect Contract Duration: 6 Months + Renewal Options  CLIENT is migrating one of its high-usage transactional system from a legacy platform to newer technologies in the cloud and requires a Database Architect with proven experience to:  Document the as is schemas currently in use at CLIENT in SQL Server databases and Oracle databases.Document existing data interfaces in the legacy system.Document existing downstream impacts of the legacy system.Document database process thaPosition: Database Architect Contract Duration: 6 Months + Renewal Options  CLIENT is migrating one of its high-usage transactional system from a legacy platform to newer technologies in the cloud and requires a Database Architect with proven experience to:  Document the as is schemas currently in use at CLIENT in SQL Server databases and Oracle databases.Document existing data interfaces in the legacy system.Document existing downstream impacts of the legacy system.Document database process tha
98, Database Engineer (Vector) , Lawrence Harvey ,"Database Engineer (Vector)  Remote  Base + Bonus We have partnered with an exciting Data and Analytics consulting company. They help Fortune 500 or similar organizations build core capabilities that set them on a path to achieve analytics self-sufficiency. They are transforming the way companies execute enterprise-wide data engineering and data science initiatives. In this role, you will contribute to the development and maintenance of the data infrastructure, ensuring efficient handling of compDatabase Engineer (Vector)  Remote  Base + Bonus We have partnered with an exciting Data and Analytics consulting company. They help Fortune 500 or similar organizations build core capabilities that set them on a path to achieve analytics self-sufficiency. They are transforming the way companies execute enterprise-wide data engineering and data science initiatives. In this role, you will contribute to the development and maintenance of the data infrastructure, ensuring efficient handling of compDatabase Engineer (Vector)  Remote  Base + Bonus We have partnered with an exciting Data and Analytics consulting company. They help Fortune 500 or similar organizations build core capabilities that set them on a path to achieve analytics self-sufficiency. They are transforming the way companies execute enterprise-wide data engineering and data science initiatives. In this role, you will contribute to the development and maintenance of the data infrastructure, ensuring efficient handling of comp"
99, Database Technical Lead , IDC Technologies ,"Title: Database Technical Lead  Location: Rensselaer, NY | Remote EST support required. Can be anywhere in US.  Contract to hire Duration: 6 months, Temp-to-Perm Schedule: Mon  Fri 9:00-5:00EST. Every 5th week requires weekend support (Tues-Thurs, Sat, Sun).  Note:  This candidate is going groomed to succeed someone else in this team who will be transitioning into a more strategic role. Candidate needs to have VERY STRONG communication.  Requirements:  Twelve (12) years or more of related techni"
